Name of Company,Trading Symbol,State of Incorporation,City,ZipCode,Employee Id,Phone No.,Exchanges,Form,Financial Period,Total Assets,Total Liabilities,Stockholder Equity,Total Operating Expenses,Net Incone,Webpage
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-09-08,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321006385/f8k_090821.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-08-19,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321006132/f8k_082421.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-08-09,,,,,,https://sec.gov/Archives/edgar/data/0910638/000091063821000022/ddd-20210809.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-07-28,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321005318/f8k_073021.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-06-01,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321004037/f8k_060221.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-05-18,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321003652/f8k_051921.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-05-18,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321003619/f8k_051821.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-05-10,,,,,,https://sec.gov/Archives/edgar/data/0910638/000091063821000015/ddd-20210510.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-04-08,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321002461/f8k_041321.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-03-01,,,,,,https://sec.gov/Archives/edgar/data/0910638/000091063821000005/ddd-20210301.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-02-23,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321001248/f8k_022421.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-01-06,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321000168/f8k_010721.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-01-01,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321000011/f8k_010421.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],10-Q,2021-09-30,"1,005,103 ","168,188 ","1,005,103 ","81,523 ","292,656 ",https://sec.gov/Archives/edgar/data/0910638/000091063821000027/ddd-20210930.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],10-Q,2021-06-30,"712,293 ","158,890 ","712,293 ","79,065 ","9,632",https://sec.gov/Archives/edgar/data/0910638/000091063821000021/ddd-20210630.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],10-Q,2021-03-31,"705,507 ","154,392 ","705,507 ","66,199 ","45,228 ",https://sec.gov/Archives/edgar/data/0910638/000091063821000013/ddd-20210331.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],10-K,2020-12-31,"733,055 ","175,730 ","733,055 ","342,338 ","149,594",https://sec.gov/Archives/edgar/data/0910638/000091063821000008/ddd-20201231.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-12-02,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921145975/tm2134420d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-11-19,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921141994/tm2133386d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-11-15,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921139370/tm2132908d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-11-15,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921139163/tm2132910d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-10-28,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921131822/tm2131331d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-09-30,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921120946/tm2128839d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-06-24,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921085218/tm2120621d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-05-28,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921074328/tm2117906d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-03-04,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921032171/tm218565d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-01-14,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921006349/tm213655d1_8k.htm
"890 5th Avenue Partners, Inc.",['ENFA'],DE,RYE,10580,833022075,5759146575,['Nasdaq'],8-K,2021-01-11,,,,,,https://sec.gov/Archives/edgar/data/1828972/000110465921004786/tm213318d1_8k.htm
